id	title	author	category	lyrics
LS_11	DENGAN RIANG KAMI PUJI	LS	Lagu Sion	"Dengan riang kami puji
Allah kasih dan mulia
Pada-Mu ku buka hati
Bagai bunga merekah
Kabut dosa dan derita
Kebimbangan lenyaplah
Kau b’ri bahagia abadi
Memancar t’rang di hati

Semua yang t’lah Kau cipta
Memantulkan kasih-Mu
Tata surya dan malaekat
Naikkan puji bagi-Mu
Padang, hutan, gunung, lembah
Ombak laut menderu
Mata air, kicau burung
Bersyukur kepada-Mu

Kau memb’ri dan mengampuni
Kau limpahkan rahmat-Mu
Sumber air kehidupan
Lautan kasih dan restu
Yang mau hidup dalam kasih
Kau jadikan milik-Mu
Ajar kami menyayangi
Teladani kasih-Mu"
LS_12	NYANYIKANLAH KIDUNG YANG BARU	LS	Lagu Sion	"Nyanyikanlah kidung yang baru
Ajaiblah ciptaan-Nya
Kasih sayang-Nya yang menyentuh
Marilah puji nama-Nya
Yang menyatakan kes’lamatan
Dan diakui manusia
Pada dunia t’lah diungkapkan
Kebenaran-Nya yang baka

Dengan suara musik yang indah
Nyanyilah dengan gempita
Kar’na rahmat-Nya yang berlmpah
Dunia pun bersukacita
Bunyikan gambus dan kecapi
Indah bak nada surgawi
Semua yang hidup di bumi
Puji Raja yang suci

Sungai dan samud’ra menderu
B’ri hormat dan puji Allah
Gunung-gunung dan bukit batu
Memuji kebesaran-Nya
Orang saleh senantiasa
Memuji kemuliaan-Nya
Adil dan benar Engkau Allah
Yang bawa damai ke dunia"
LS_13	SUCI, SUCI, SUCI	LS	Lagu Sion	"Suci, suci, suci, Yang Maha Tinggi
Kami nyanyi pujian siang dan malam
Suci, suci, suci, Allah maha kasih
Yang memerintah semesta alam

Suci, suci, suci, malaikat sembah
Tersungkur di bawah kaki Allah Bapa
Berjuta manusia, bersujud menyembah
Engkau yang kekal s’lama-lamanya

Suci, suci, suci, Yang maha mulia
Tak sanggup kupandang wajah-Mu ya Allah
Hanya Engkau saja, lain tiada lagi
Yang maha kuasa, kasih dan suci

Suci, suci, suci, Yang maha agung
S’luruh ciptaan-Mu, memuji Nama-Mu
Suci, suci, suci, Allah maha kasih
Allah yang Esa, agung rahmat-Mu"
LS_14	JIKA KIRANYA LIDAHKU	LS	Lagu Sion	"Jika kiranya lidahku
boleh memashurkan sep’nuh
Kemuliaan Yesus
Kecapi surga berbunyi
Seisi surga menyanyi
Nyanyi lagu surga
Nyanyi lagu surga

Aku nyanyikan darah-Nya
Yang membasuh s’gala dosa
Yang s’lamatkan aku
Ku puji kebenaran-Nya
Dan kesempurnaan surga
Yang t’rangi jiwaku
Yang t’rangi jiwaku

Aku nyanyikan Kodrat-Nya
Kasih-Nya yang tak terduga
Dari takhta surga
Dengan nyanyian yang merdu
Aku mau mashurkan s’lalu
Kemuliaan-Nya
Kemuliaan-Nya

Indah hari Yesus datang
Bila masuk surga yang t’rang
Melihat wajah-Nya
Beserta Juruslamatku
Hidup senang dan bersatu
Selama-lamanya
Selama-lamanya"
LS_15	AKU SENANG MENC'RITAKAN	LS	Lagu Sion	"Aku senang menc’ritakan
Neg’ri yang indah dan mulia
Neg’ri yang Tuhan sediakan,
Oh, aku rindu ke sana
Jalannya semua emas
Dindingnya dari mutiara
Negri yang ajaib di atas
Oh, aku rindu ke sana

C’ritakanlah hal di surga
Tak ada duka dan dosa
Pencobaan pun lenyaplah
Oh, aku rindu ke sana
Aku senang menc’ritakan
Kasih dan jubah yang indah
Himpunan umat tebusan
Oh, aku rindu ke sana

Ratap tangis dihapuskan
Saat kita dibangkitkan
Kota yang baru turunlah
Sungguh molek dandanannya
Kota yang suci dan indah
Sana tiada lagi duka
Semua yang jahat dan dosa
Lenyap untuk selamanya

Dalam cobaan, ya Tuhan
Siapkan aku ke surga
Di sana k’lak ku rasakan
Hidup senang dan bahagia
Berjalan-jalan di taman
Yang permai pemandangannya
Malaikat dan yang setiawan
Bersama Yesus di sana"
LS_16	TUHAN BERTAKHTA DI SURGA	LS	Lagu Sion	"Tuhan bertakhta di surga
Bintang dan surya bercah’ya
Pantulkan kemuliaan-Nya
Hadirat-Mu di hatiku
Hadirat-Mu di hatiku

Kau matahari hidupku
Yang t’rangi perjalananku
Bintang harapan jiwaku
Menuntun di malam gelap
Menuntun di malam gelap

Di tengah malam yang kelam
Cah’ya siangpun temaram
Pelangi tanda kasih-Nya
Yang menghalau awan dosa
Yang menghalau awan dosa

Tuhan bagiku s’galanya
T’rang kebenaran dan kasih
Di hadapan takhta  Allah
Tak ku minta kemasyhuran
Tak ku minta kemasyhuran

Tuhan, b’rilah kebenaran
Yang akan bebaskan aku
Hingga semua mengakui
Kesucian dan t’rang surga
Kesucian dan t’rang surga"
LS_17	TUHAN LINDUNGILAH KAMI	LS	Lagu Sion	"Tuhan lindungilah kami malam ini
Dan malaikat jaga kami
Hingga tiba pagi
Amin"
LS_18	PUJILAH ALLAH	LS	Lagu Sion	"Pujilah Allah Bapa di surga
Bersukacita, Dalam firman-Nya
Langit memuji, Sang Khalik Pencipta
Dan sembahlah Dia, Yang maha mulia

Pujilah Allah, Hai seg’nap bumi
Dengan irama, Lagu serasi
Pujilah Dia, Kar’na anug’rah-Nya
Pujilah Tuhanmu, Kar’na kasih-Nya

Pujilah Allah, Dengan gempita
Nada ceria, bergema ria
Musiknya merdu, Bermelodi indah
Menc’ritakan semua Perbuatan-Nya

Pujilah Allah, Syukur pada-Nya
Senantiasa, Sepanjang masa
Kar’na kasih-Nya, Putra dib’rikan-Nya
Puji Tuhan kar’na kes’lamatan"
LS_19	HATI YESUS PENUH	LS	Lagu Sion	"Hati Yesus penuh kasih bagimu
Kasih suci murni, kasih abadi
Mengapa sendiri cari sahabat
Dalam hati Yesus penuhlah berkat

Dalam hati Yesus engkau diingat
Bagaikan cahaya surya yang hangat
Mengapa kau takut pikiran kacau
Kar’na Yesus takkan lupakan engkau

Dalam ladang Yesus ada kerjaan
Yang malaikat surga gemar lakukan
Mengapa berlengah mencari kerja
Ladang Yesus luas memanggil kita

Dalam rumah Yesus adalah tempat
Yang senang dan mulia aman dan slamat
Mengapa mau tinggal di tempat sesat
Dalam rumah Yesus tersedia tempat"
LS_20	KIDUNG YANG BARU	LS	Lagu Sion	"Ku nyanyikan kidung baru
Ajaib perbuatan-Mu
Kuasa, kesucian Tuhan
Memb’ri kemenangan

Petik harpa, bermazmurlah
Memuji Yehova
Tiupkanlah nafirimu
Sambutlah Rajamu

Bumi dan s’gala isinya
Semua bergelora
Sungai pun bertepuk tangan
Dan gunung bersorak

Tuhan akan datang seg’ra
Menghakimi dunia
Kebenaran dinyatakan
Pada semua insan"
