songId	title	author	category	key	beat	version
LSEB_58	58. Majulah Berjalan	J. S. B Monsel				Lagu Sion Edisi Lengkap (LSEB)
LSEB_59	59. Tuhan Jadikanlah Kami	American Negro Spritual				Lagu Sion Edisi Lengkap (LSEB)
LSEB_60	60. Pada Akhir Kebaktian	John Ellerton				Lagu Sion Edisi Lengkap (LSEB)
LSEB_61	61. Ya Tuhanku, Tuntun Aku Berjalan	Harry Armstrong				Lagu Sion Edisi Lengkap (LSEB)
LSEB_62	62. Lebih Besar Dari Kasih Ibu	Alfred H. Ackley				Lagu Sion Edisi Lengkap (LSEB)
LSEB_63	63. Sembilan Puluh Sembilan	Elizabeth C. Clephane				Lagu Sion Edisi Lengkap (LSEB)
LSEB_64	64. Tiada Lain Pelindung S’Perti Yesus	C. F Weigle				Lagu Sion Edisi Lengkap (LSEB)
LSEB_65	65. Pujilah Bapa	Elizabeth Rundle Charles				Lagu Sion Edisi Lengkap (LSEB)
LSEB_66	66. Itu Nyata Di Hatiku	Arthur Slater				Lagu Sion Edisi Lengkap (LSEB)
LSEB_67	67. Lama T’Lah Dirindu	E. A. H				Lagu Sion Edisi Lengkap (LSEB)
LSEB_68	68. Bapa Kami Datang	F. E. Belden				Lagu Sion Edisi Lengkap (LSEB)
LSEB_69	69. Ku Mendengar Suara Tuhan	Horatius Bonar				Lagu Sion Edisi Lengkap (LSEB)
LSEB_70	70. Sempurna Dan Mulia	Frances R. Havergal				Lagu Sion Edisi Lengkap (LSEB)
LSEB_71	71. Ajaiblah Terbenamnya Mentari	George Beverly Shea				Lagu Sion Edisi Lengkap (LSEB)
LSEB_72	72. Besar Kasihmu, Ya Allah	George Matheson				Lagu Sion Edisi Lengkap (LSEB)
LSEB_73	73. Kasih Allah	Claudia Lehman Mays				Lagu Sion Edisi Lengkap (LSEB)
LSEB_74	74. Kar’Na Demikian Besar Kasih-Nya	August D. Rische				Lagu Sion Edisi Lengkap (LSEB)
LSEB_75	75. Bersukacitalah, Tuhan Raja Surga	Charles Wesley				Lagu Sion Edisi Lengkap (LSEB)
LSEB_76	76. Bapa Kekal Yang S’Lamatkan	William Whiting				Lagu Sion Edisi Lengkap (LSEB)
LSEB_77	77. Ya Tuhanku, Sungguh Ku Terpesona	Stuart K. Hine				Lagu Sion Edisi Lengkap (LSEB)
LSEB_78	78. Tuhan Atas S’Gala Bangsa	Olive Wise Spannus				Lagu Sion Edisi Lengkap (LSEB)
LSEB_79	79. Ku Puji Tuhan Yang Ciptakan	Issac Watts				Lagu Sion Edisi Lengkap (LSEB)
LSEB_80	80. Seg’Nap Bumi Bersoraklah	Isaac Watts				Lagu Sion Edisi Lengkap (LSEB)
LSEB_81	81. Hai M’Laikat Suci Di Surga	Athestan Riley				Lagu Sion Edisi Lengkap (LSEB)
LSEB_82	82. Hai, Dengarlah Kisah Ajaib	James M. Gray				Lagu Sion Edisi Lengkap (LSEB)
LSEB_83	83. Alam Indah Cemerlang	Cecil F. Alexander				Lagu Sion Edisi Lengkap (LSEB)
LSEB_84	84. Musim Semi T’Lah Datang	Oxford Book of Carols				Lagu Sion Edisi Lengkap (LSEB)
LSEB_85	85. Sungguh Luas Cakrawala	Joseph Addison				Lagu Sion Edisi Lengkap (LSEB)
LSEB_86	86. Sembahlah Allah Yang Maha Mulia	Robert Grant				Lagu Sion Edisi Lengkap (LSEB)
LSEB_87	87. Dapatkah Kau Hitung Semua Bintang	Wilhelm Hey				Lagu Sion Edisi Lengkap (LSEB)
LSEB_88	88. Tuhan P’Liharakan	Civilla D. Martin				Lagu Sion Edisi Lengkap (LSEB)
LSEB_89	89. Besarlah Ya Tuhan, Kasih Setia-Mu	Thomas O.Chisolm				Lagu Sion Edisi Lengkap (LSEB)
LSEB_90	90. Umat Allah Yang Pengasih	Carolina Sandel Berg				Lagu Sion Edisi Lengkap (LSEB)
LSEB_91	91. Gembalaku Penolongku	Isaac Watts				Lagu Sion Edisi Lengkap (LSEB)
