segmentId	songId	label	text	order
LSEB_12_s1	LSEB_12	Bait 2	Dengan suara musik yang indah \nNyanyilah dengan gempita \nKar’na rahmat-Nya yang berlmpah \nDunia pun bersukacita \nBunyikan gambus dan kecapi \nIndah bak nada surgawi \nSemua yang hidup di bumi \nPuji Raja yang suci	
LSEB_12_s2	LSEB_12	Bait 3	Sungai dan samud’ra menderu \nB’ri hormat dan puji Allah \nGunung-gunung dan bukit batu \nMemuji kebesaran-Nya \nOrang saleh senantiasa \nMemuji kemuliaan-Nya \nAdil dan benar Engkau Allah \nYang bawa damai ke dunia	
LSEB_13_s0	LSEB_13	Bait 1	Suci, suci, suci, Yang Maha Tinggi \nKami nyanyi pujian siang dan malam \nSuci, suci, suci, Allah maha kasih \nYang memerintah semesta alam	
LSEB_13_s1	LSEB_13	Bait 2	Suci, suci, suci, malaikat sembah \nTersungkur di bawah kaki Allah Bapa \nBerjuta manusia, bersujud menyembah \nEngkau yang kekal s’lama-lamanya	
LSEB_13_s2	LSEB_13	Bait 3	Suci, suci, suci, Yang maha mulia \nTak sanggup kupandang wajah-Mu ya Allah \nHanya Engkau saja, lain tiada lagi \nYang maha kuasa, kasih dan suci	
LSEB_13_s3	LSEB_13	Bait 4	Suci, suci, suci, Yang maha agung \nS’luruh ciptaan-Mu, memuji Nama-Mu \nSuci, suci, suci, Allah maha kasih \nAllah yang Esa, agung rahmat-Mu	
LSEB_14_s0	LSEB_14	Bait 1	Jika kiranya lidahku \nboleh memashurkan sep’nuh \nKemuliaan Yesus \nKecapi surga berbunyi \nSeisi surga menyanyi \nNyanyi lagu surga \nNyanyi lagu surga	
LSEB_14_s1	LSEB_14	Bait 2	Aku nyanyikan darah-Nya \nYang membasuh s’gala dosa \nYang s’lamatkan aku \nKu puji kebenaran-Nya \nDan kesempurnaan surga \nYang t’rangi jiwaku \nYang t’rangi jiwaku	
LSEB_14_s2	LSEB_14	Bait 3	Aku nyanyikan Kodrat-Nya \nKasih-Nya yang tak terduga \nDari takhta surga \nDengan nyanyian yang merdu \nAku mau mashurkan s’lalu \nKemuliaan-Nya \nKemuliaan-Nya	
LSEB_14_s3	LSEB_14	Bait 4	Indah hari Yesus datang \nBila masuk surga yang t’rang \nMelihat wajah-Nya \nBeserta Juruslamatku \nHidup senang dan bersatu \nSelama-lamanya \nSelama-lamanya	
LSEB_15_s0	LSEB_15	Bait 1	Aku senang menc’ritakan \nNeg’ri yang indah dan mulia \nNeg’ri yang Tuhan sediakan, \nOh, aku rindu ke sana \nJalannya semua emas \nDindingnya dari mutiara \nNegri yang ajaib di atas \nOh, aku rindu ke sana	
LSEB_15_s1	LSEB_15	Bait 2	C’ritakanlah hal di surga \nTak ada duka dan dosa \nPencobaan pun lenyaplah \nOh, aku rindu ke sana \nAku senang menc’ritakan \nKasih dan jubah yang indah \nHimpunan umat tebusan \nOh, aku rindu ke sana	
LSEB_15_s2	LSEB_15	Bait 3	Ratap tangis dihapuskan \nSaat kita dibangkitkan \nKota yang baru turunlah \nSungguh molek dandanannya \nKota yang suci dan indah \nSana tiada lagi duka \nSemua yang jahat dan dosa \nLenyap untuk selamanya	
LSEB_15_s3	LSEB_15	Bait 4	Dalam cobaan, ya Tuhan \nSiapkan aku ke surga \nDi sana k’lak ku rasakan \nHidup senang dan bahagia \nBerjalan-jalan di taman \nYang permai pemandangannya \nMalaikat dan yang setiawan \nBersama Yesus di sana	
LSEB_16_s0	LSEB_16	Bait 1	Tuhan bertakhta di surga \nBintang dan surya bercah’ya \nPantulkan kemuliaan-Nya \nHadirat-Mu di hatiku \nHadirat-Mu di hatiku	
LSEB_16_s1	LSEB_16	Bait 2	Kau matahari hidupku \nYang t’rangi perjalananku \nBintang harapan jiwaku \nMenuntun di malam gelap \nMenuntun di malam gelap	
LSEB_16_s2	LSEB_16	Bait 3	Di tengah malam yang kelam \nCah’ya siangpun temaram \nPelangi tanda kasih-Nya \nYang menghalau awan dosa \nYang menghalau awan dosa	
LSEB_16_s3	LSEB_16	Bait 4	Tuhan bagiku s’galanya \nT’rang kebenaran dan kasih \nDi hadapan takhta  Allah \nTak ku minta kemasyhuran \nTak ku minta kemasyhuran	
LSEB_16_s4	LSEB_16	Bait 5	Tuhan, b’rilah kebenaran \nYang akan bebaskan aku \nHingga semua mengakui \nKesucian dan t’rang surga \nKesucian dan t’rang surga	
LSEB_17_s0	LSEB_17	Bait 1	Tuhan lindungilah kami malam ini \nDan malaikat jaga kami \nHingga tiba pagi \nAmin	
LSEB_18_s0	LSEB_18	Bait 1	Pujilah Allah Bapa di surga \nBersukacita, Dalam firman-Nya \nLangit memuji, Sang Khalik Pencipta \nDan sembahlah Dia, Yang maha mulia	
LSEB_18_s1	LSEB_18	Bait 2	Pujilah Allah, Hai seg’nap bumi \nDengan irama, Lagu serasi \nPujilah Dia, Kar’na anug’rah-Nya \nPujilah Tuhanmu, Kar’na kasih-Nya	
LSEB_18_s2	LSEB_18	Bait 3	Pujilah Allah, Dengan gempita \nNada ceria, bergema ria \nMusiknya merdu, Bermelodi indah \nMenc’ritakan semua Perbuatan-Nya	
LSEB_18_s3	LSEB_18	Bait 4	Pujilah Allah, Syukur pada-Nya \nSenantiasa, Sepanjang masa \nKar’na kasih-Nya, Putra dib’rikan-Nya \nPuji Tuhan kar’na kes’lamatan	
LSEB_19_s0	LSEB_19	Bait 1	Hati Yesus penuh kasih bagimu \nKasih suci murni, kasih abadi \nMengapa sendiri cari sahabat \nDalam hati Yesus penuhlah berkat	
LSEB_19_s1	LSEB_19	Bait 2	Dalam hati Yesus engkau diingat \nBagaikan cahaya surya yang hangat \nMengapa kau takut pikiran kacau \nKar’na Yesus takkan lupakan engkau	
LSEB_19_s2	LSEB_19	Bait 3	Dalam ladang Yesus ada kerjaan \nYang malaikat surga gemar lakukan \nMengapa berlengah mencari kerja \nLadang Yesus luas memanggil kita	
LSEB_19_s3	LSEB_19	Bait 4	Dalam rumah Yesus adalah tempat \nYang senang dan mulia aman dan slamat \nMengapa mau tinggal di tempat sesat \nDalam rumah Yesus tersedia tempat	
LSEB_20_s0	LSEB_20	Bait 1	Ku nyanyikan kidung baru \nAjaib perbuatan-Mu \nKuasa, kesucian Tuhan \nMemb’ri kemenangan	
LSEB_20_s1	LSEB_20	Bait 2	Petik harpa, bermazmurlah \nMemuji Yehova \nTiupkanlah nafirimu \nSambutlah Rajamu	
LSEB_20_s2	LSEB_20	Bait 3	Bumi dan s’gala isinya \nSemua bergelora \nSungai pun bertepuk tangan \nDan gunung bersorak	
LSEB_20_s3	LSEB_20	Bait 4	Tuhan akan datang seg’ra \nMenghakimi dunia \nKebenaran dinyatakan \nPada semua insan	
LSEB_21_s0	LSEB_21	Bait 1	Pada-Mu Allah ku puji \nyang b’rikan berkat dan kasih \nS’mesta alam pujilah t’rus \nBapa, Anak dan Roh Kudus	
LSEB_22_s0	LSEB_22	Bait 1	Hai jiwaku bangun seg’ra \nMaju dengan b’rani \nKalahkan cobaan dunia \nHidup kekal dib’ri	
LSEB_22_s1	LSEB_22	Bait 2	Tuhan Allah maha kuasa \nMemanggil padamu \nIa memb’rikan pahala \nAtas pengabdianmu	
LSEB_22_s2	LSEB_22	Bait 3	Malak surga menyaksikan \nImanmu yang teguh \nKe tempat yang kekal itu \nTujukan jalanmu	
LSEB_22_s3	LSEB_22	Bait 4	Ya, Jurus’lamat Tuhanku \nTuntunlah hidupku \nMahkota kemenanganku \nKu-s’rahkan pada-Mu	
LSEB_23_s0	LSEB_23	Bait 1	Allah yang abadi dan bijaksana \nYang tak terhampiri terang takhta-Nya \nTeramat mulia sejak dulu kala \nNama-Nya kupuja, besar kuasa-Nya	
LSEB_23_s1	LSEB_23	Bait 2	Engkau berkuasa, bersinar tetap \nBerkarya, mencipta tak pernah senyap \nKeadilan Tuhan tinggi menjulang \nAwan-Mu sarat dengan kasih sayang	
LSEB_23_s2	LSEB_23	Bait 3	Semuanya Engkau beri kehidupan \nHidup di dalam Roh dan Kebenaran \nKami tumbuh bagai pohon yang lebat \nYang akan layu, namun Engkau kuat	
LSEB_23_s3	LSEB_23	Bait 4	Maha besar Bapa yang sungguh mulia \nMalaikat menyembah tunduk memuja \nYa Tuhan, bukalah mata hatiku \nUntuk memuji kemuliaan-Mu	
LSEB_24_s0	LSEB_24	Bait 1	Dengarlah lonceng berdentang \nSeg’nap alam puji Dia \nNyanyikanlah dengan riang \nSeg’nap alam puji Dia \nKini saatnya bersuka \nSobat, teman datanglah \nNyanyilah dengan gembira \nSeg’nap alam puji Dia	
LSEB_24_s1	LSEB_24	Bait 2	Ku rindu rumah di surga \nSeg’nap alam puji Dia \nDi sana tiada derita \nSeg’nap alam puji Dia \nYesuslah Saudara kita \nJadi satu semua \nYang dilahirkan Maria \nSeg’nap alam puji Dia	
LSEB_24_s2	LSEB_24	Bait 3	Bila k’lak musim berganti \nSeg’nap alam puji Dia \nMembawa damai di bumi \nSeg’nap alam puji Dia \nB’ritakan kabar s’lamat-Nya \nPada insan di dunia \nDengarkanlah lonceng surga \nSeg’nap alam puji Dia	
LSEB_25_s0	LSEB_25	Bait 1	Puji Tuhan yang mulia, Haleluya \nHai orang saleh semua, Haleluya \nMalaikat yang di surga, Haleluya \nMengagungkan kasih-Nya, Haleluya	
LSEB_25_s1	LSEB_25	Bait 2	Di surga dan di dunia, Haleluya \nC’ritakan “Ajaib Allah”, Haleluya \nDari zaman ke zaman, Haleluya \nS’lamanya puji Tuhan, Haleluya	
LSEB_25_s2	LSEB_25	Bait 3	Pujilah rahmat Tuhan, Haleluya \nYang s’lalu p’lihara, Haleluya \nYang mengutus Putra-Nya, Haleluya \nUntuk s’lamatkan kita, Haleluya	
LSEB_26_s0	LSEB_26	Bait 1	Puji Tuhan hai manusia, \nBersama malaikat-Nya \nSurya dan bulan bersorak \nPujilah sang Pencipta \nPuji Allah yang bersabda \nJagad patuh pada-Nya \nHukum Allah berkuasa \nMengatur ciptaan-Nya	
LSEB_26_s1	LSEB_26	Bait 2	Puji Tuhan maha mulia \nJanji dipenuhi-Nya \nDiberi-Nya kemenangan \nPada orang yang setia \nMaut dan dosa dikalahkan \nUmat Allah s’lamatlah \nSurga dan seisi dunia \nSorak puji Nama-Nya	
LSEB_26_s2	LSEB_26	Bait 3	Sembah hormat dan pujian \nKepada-Mu ya Tuhan \nTua muda memuji-Mu \nDengan lagu yang merdu \nMalaikat surga memuji \nKami ikut bernyanyi \nMenyembah di hadirat-Mu \nBumi pun memuji-Mu	
LSEB_28_s0	LSEB_28	Bait 1	Kami mau lihat Yesus Jurus’lamat \nKar’na bayang hidup kami singkat \nKami mau lihat Yesus yang teguhkan \nIman kami dalam pergumulan	
LSEB_28_s1	LSEB_28	Bait 2	Kami mau lihat Yesus Batu Karang \nTempat s’lamat berdiri sekarang \nBaik saat hidup atau maut menjelang \nTetap wajah-Nya yang kami pandang	
LSEB_28_s2	LSEB_28	Bait 3	Kami mau lihat Yesus Terang Dunia \nYang kami rindukan sejak lama \nLenyaplah s’gala daya tarik dunia \nKami tak keluh, Yesus gantinya	
LSEB_28_s3	LSEB_28	Bait 4	Kami mau lihat Yesus maha kuasa \nSukacita dan kekuatan dib’ri \nYesus t’lah mati, bangkit dan naik surga \nSeg’ra kembali s’lamatkan kita	
LSEB_29_s0	LSEB_29	Bait 1	Puji Allah yang bertakhta \nTuhan alam semesta \nMahakuasa, maha kasih \nJurus’lamat insani \nJiwaku disegarkan-Nya \nDan  kebimbangan lenyaplah \nPuji Allah yang mulia	
LSEB_29_s1	LSEB_29	Bait 2	Allah yang maha kuasa \nYang memb’rikan sentosa \nDari pagi hingga senja \nTuhan s’lalu menjaga \nDi dalam kerajaan-Nya \nAdil dan  benar hikmat-Nya \nPuji Allah yang mulia	
LSEB_29_s2	LSEB_29	Bait 3	Tuhan selamanya dekat \nYang mencurahkan berkat \nDalam s’gala kesusahan \nKedamaian dib’rikan \nTangan-Nya yang berkasihan \nMemimpinku s’panjang jalan \nPujilah Allah yang mulia	
LSEB_29_s3	LSEB_29	Bait 4	S’panjang jalan kehidupan \nKu akan puji Tuhan \nAgar didengar semua \npuji syukur pada-Nya \nBersukalah pada Tuhan \nJiwa ragaku s’kalian \nPuji Allah yang mulia	
LSEB_30_s0	LSEB_30	Bait 1	Kuduslah nama Tuhan \nKamu puji dan masyhurkan \nIsi dunia sujudlah \nDi hadapan-Mu kusembah \nBesarlah kuasa-Mu \nKekallah k’rajaan-Mu	
LSEB_30_s1	LSEB_30	Bait 2	Nyanyikan lagu suci \nMalaikat surga memuji \nKerubium dan serafim \nPujian s’lalu terkirim \nDengan kidung serasi \nTuhan yang maha suci	
LSEB_30_s2	LSEB_30	Bait 3	Allah Bapa surgawi, Allah \nAnak dan Roh Suci \nDalam keesaan-Mu \nEngkau utuh bersatu \nKusujud di kaki-Mu \nAjaiblah kuasa-Mu	
LSEB_31_s0	LSEB_31	Bait 1	C’ritakan keagungan Tuhanmu \nBerkat-berkat-Nya berkelimpahan \nJanji yang indah dalam sabda-Nya \nJiwaku senang di dalam Tuhan	
LSEB_31_s1	LSEB_31	Bait 2	C’ritakan keagungan nama-Nya \nMasyhurkanlah ciptaan tangan-Nya \nRahmat Tuhan kekal selamanya \nMaha suci dan indah nama-Nya	
LSEB_31_s2	LSEB_31	Bait 3	C’ritakan kebesaran kuasa-Nya \nS’luruh dunia tunduk kepada-Nya \nPasti tamat s’gala kejahatan \nYang ikut Tuhan ‘kan dis’lamatkan	
LSEB_31_s3	LSEB_31	Bait 4	C’ritakan kemuliaan firman-Nya \nTeguh janji-Nya, pasti rahmat-Nya \nC’ritakan keagungan Tuhanmu \nDan kasih-Nya sampai kesudahan	
LSEB_32_s0	LSEB_32	Bait 1	Sembah sujudlah umat-Nya \nDi hadapan Allah \nSeisi surga tunduklah \nDengarlah sabda-Nya \nDengarlah sabda-Nya	
LSEB_32_s1	LSEB_32	Bait 2	Betapa agung Kodrat-Mu \nPerkasa tent’ra-Mu \nTak ada yang setara-Mu \nBesarlah kasih-Mu \nBesarlah kasih-Mu	
LSEB_32_s2	LSEB_32	Bait 3	Nyanyilah hai umat Tuhan \nPuji Jurus’lamat \nMari melangkah ke Sion \nDi surga yang suci \nDi surga yang suci	
LSEB_32_s3	LSEB_32	Bait 4	Yesus Tuhan maha kuasa \nEngkau kami sembah \nYa Tuhan Raja semesta \nJemputlah umat-Mu \nJemputlah umat-Mu	
LSEB_33_s0	LSEB_33	Bait 1	Nyanyikan dengan gembira, \nSyair lagu yang indah \nLupakan kesusahanmu, \nDengan lagu yang merdu \nMenyanyilah bagi Tuha, \nIa t'lah p'liharakan \nKasih-Nya memimpin kita, \nDatang ke hadirat-Nya	
LSEB_33_s1	LSEB_33	Chorus	Nyanyilah, gembira, \nSyair lagu yang indah \nNyanyilah, gembira, \nLagu kemenangan	
LSEB_33_s2	LSEB_33	Bait 2	Kibarkan panji-panji-Nya, \nSambut kedatangan-Nya \nSorakkan gema hosana, \nSembah sujud pada-Nya \nNyanyikan kidung mulia, \nHal Jurus'lamat dunia \nC'ritakan kabar gembira, \nKasih dan tebusan-Nya	
LSEB_33_s3	LSEB_33	Bait 3	T'rima kasih pada Bapa, \nSungguh besar kasih-Mu \nPenuhilah hati kami, \nDengan syukur dan puji \nT'rima kasih Tuhan Yesus, \nEngkau Jurus'lamatku \nYa Roh Kudus tuntun kami, \nSembah puji Ilahi	
